lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
343,2024-12-08,1,4,12,50,1,8,23:05,23,5,07:18,7,18,08:13,8,13,493,7,0,0,07:55:00,7,55,475,18,FALSE
344,2024-12-09,1,4,12,50,2,9,23:39,23,39,05:43,5,43,06:04,6,4,364,3,0,0,05:57:00,5,57,357,7,FALSE
345,2024-12-10,1,4,12,50,3,10,23:40,23,40,07:34,7,34,07:54,7,54,474,5,0,0,07:43:00,7,43,463,11,FALSE
346,2024-12-11,1,4,12,50,4,11,23:35,23,35,06:28,6,28,06:53,6,53,413,5,0,0,06:42:00,6,42,402,11,FALSE
347,2024-12-12,1,4,12,50,5,12,23:18,23,18,08:13,8,13,08:55,8,55,535,6,0,0,07:42:00,7,42,462,73,FALSE
348,2024-12-13,1,4,12,50,6,13,23:19,23,19,06:55,6,55,07:36,7,36,456,3,0,0,07:32:00,7,32,452,4,FALSE
349,2024-12-14,1,4,12,50,7,14,23:22,23,22,07:00,7,0,07:38,7,38,458,6,0,0,07:23:00,7,23,443,15,FALSE
350,2024-12-15,1,4,12,51,1,15,23:47,23,47,09:03,9,3,09:16,9,16,556,4,0,0,08:42:00,8,42,522,34,FALSE
351,2024-12-16,1,4,12,51,2,16,23:34,23,34,07:24,7,24,07:50,7,50,470,6,0,0,07:39:00,7,39,459,11,FALSE
352,2024-12-17,1,4,12,51,3,17,00:05,0,5,04:10,4,10,04:05,4,5,245,5,2,170,06:39:00,6,39,399,16,TRUE
353,2024-12-18,1,4,12,51,4,18,21:58,21,58,06:13,6,13,08:15,8,15,495,11,0,0,07:27:00,7,27,447,48,FALSE
354,2024-12-19,1,4,12,51,5,19,01:16,1,16,06:46,6,46,05:30,5,30,330,3,0,0,02:59:00,2,59,179,151,TRUE
355,2024-12-20,1,4,12,51,6,20,22:15,22,15,07:13,7,13,08:58,8,58,538,4,0,0,08:49:00,8,49,529,9,FALSE
356,2024-12-21,1,4,12,51,7,21,23:54,23,54,09:46,9,46,09:52,9,52,592,5,0,0,09:35:00,9,35,575,17,FALSE
357,2024-12-22,1,4,12,52,1,22,23:31,23,31,09:36,9,36,10:05,10,5,605,7,2,77,10:46:00,10,46,646,36,FALSE
358,2024-12-23,1,4,12,52,2,23,00:06,0,6,07:49,7,49,07:43,7,43,463,1,0,0,07:40:00,7,40,460,3,TRUE
359,2024-12-24,1,4,12,52,3,24,23:14,23,14,09:41,9,41,10:27,10,27,627,4,2,80,11:19:00,11,19,679,28,FALSE
360,2024-12-25,1,4,12,52,4,25,00:08,0,8,08:10,8,10,08:02,8,2,482,5,0,0,07:34:00,7,34,454,28,TRUE
361,2024-12-26,1,4,12,52,5,26,00:10,0,10,09:03,9,3,08:53,8,53,533,6,0,0,08:42:00,8,42,522,11,TRUE
362,2024-12-27,1,4,12,52,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,2024-12-28,1,4,12,52,7,28,22:15,22,15,09:54,9,54,11:39,11,39,699,8,0,0,10:15:00,10,15,615,84,FALSE
364,2024-12-29,1,4,12,53,1,29,00:31,0,31,06:10,6,10,05:39,5,39,339,3,0,0,05:35:00,5,35,335,4,TRUE
365,2024-12-30,1,4,12,53,2,30,23:05,23,5,08:47,8,47,09:42,9,42,582,6,0,0,09:01:00,9,1,541,41,FALSE
366,2024-12-31,1,4,12,53,3,31,23:14,23,14,08:12,8,12,08:58,8,58,538,8,1,22,08:28:00,8,28,508,52,FALSE
